foa_filename,caption,meta/azimuth,meta/elevation,meta/area,meta/t30,room_id,source_pos_x,source_pos_y,source_pos_z,fs,room_dim_x,room_dim_y,room_dim_z,alph,split
107897_A.wav,"The distant, echoing roar of an airplane engine is coming from the front of the large room.",28,25,215.38,376.7,8ee30407,12.048,5.03,1.821,48000,22.88,9.414,3.0,0.4422,train
109315_B.wav,A gust of wind followed by a zooming sound comes from the far right side of the large room.,117,16,172.18,639.1,61dd3fb6,5.922,8.458,2.291,48000,14.349,12.0,3.0,0.259,train
102364_B.wav,"The sound of rustling leaves, a small chime, and chirping birds is coming from the upper right corner of a large room.",79,41,246.1,615.9,a8b36abb,10.168,7.252,2.451,48000,19.918,12.356,3.0,0.2814,train
107897_B.wav,"The distant, echoing sound of an airplane engine is coming from the far end of the large room.",36,22,241.02,254.9,2afc9bf3,14.194,6.783,2.669,48000,23.708,10.166,3.0,0.6664,train
107898_A.wav,"A manâ€™s voice intermittently echoes from the far left of the large room, over the tapping of a keyboard.",-70,-28,176.88,599.3,88b94673,8.705,3.352,0.223,48000,15.768,11.218,3.0,0.2765,train
107895_B.wav,"A continuous beeping from a machine at the back of a large, highly reverberant room.",-41,-17,139.94,2344.5,811d208e,10.694,2.537,0.924,48000,18.544,7.546,3.0,0.0661,train
107895_A.wav,"A continuous beeping is emanating from a machine at the back of a large, highly reverberant room.",-155,-21,120.18,1367.4,49f88898,5.157,3.404,0.708,48000,14.054,8.551,3.0,0.1129,train
109315_A.wav,The sound of wind blowing followed by a zoom comes from the far right side of the large room.,-141,-27,236.73,383.5,9f2145c7,8.055,4.935,0.497,48000,19.17,12.349,3.0,0.4499,train
102364_A.wav,"The sound, consisting of rustling leaves, a small bell chime, and chirping birds, is coming from nearby in a spacious, highly reverberant room.",165,24,154.19,1293.8,ccd79ab9,6.878,5.35,1.74,48000,14.798,10.42,3.0,0.1252,train
108945_A.wav,"The sound of applause, a man's yell, and group singing is coming from near the front of a large, highly reverberant room.",-176,11,114.52,1047.8,ce1f8b56,5.773,4.506,1.603,48000,12.604,9.086,3.0,0.147,train
108945_B.wav,"The sound of applause, a man's yell, and group singing is coming from near the large, highly reverberant room.",161,37,179.99,1395.1,f518d34e,7.997,5.488,1.843,48000,16.855,10.679,3.0,0.1187,train
107893_A.wav,"In the far left front of the large, highly reverberant room, you hear a motor running, followed by a honking horn and a wailing siren.",-57,-2,200.47,1618.4,27737e0b,9.655,3.648,1.388,48000,15.816,12.676,3.0,0.1046,train
97151_B.wav,"The sounds of rustling, ducks quacking, water splashing, and a conversation with duck calls are coming from the far right end of a large, highly reverberant room.",90,-21,187.54,1764.6,7b206480,9.479,6.197,1.02,48000,18.959,9.892,3.0,0.0936,train
99850_A.wav,A woman's laughter and an infant's cries echo from the far front corner of the large room.,-3,-22,147.62,281.2,67e8384f,9.891,4.811,0.522,48000,14.949,9.875,3.0,0.5709,train
107893_B.wav,"The sound of a motor running, followed by a honking horn and a wailing siren, is coming from the far end of the large room.",-153,-11,176.09,610.9,2a551c32,6.464,3.965,1.021,48000,17.319,10.168,3.0,0.2692,train
97151_A.wav,"From the far left corner of the large room, you hear rustling, duck quacking, water splashing, along with a conversation between a woman and a man and duck calls being blown.",-61,-27,174.8,556.8,edf1b0f8,8.878,3.53,0.242,48000,15.362,11.378,3.0,0.2973,train
99850_B.wav,"A woman's laughter and an infant's cries echo from the far end of the small, highly reverberant room ahead.",23,-24,13.35,2567.5,c10ea67d,4.076,1.891,0.796,48000,5.243,2.546,3.0,0.05,train
107898_B.wav,The sound of a man speaking intermittently over keyboard tapping is coming from the front of the large room.,6,-9,171.23,767.9,115ab6ce,8.352,6.091,1.312,48000,14.347,11.935,3.0,0.2153,train
